date,tag,prerelease,ring,kind,asset,asset_id,download_count
2026-09-05,v0.7.0,False,win,feed,releases.win.json,530836370,107
2026-09-05,v0.7.0,False,win,delta,WusTechnik.ClaudeUsageTray-0.7.0-delta.nupkg,530836359,11
2026-09-05,v0.7.0,False,win,full,WusTechnik.ClaudeUsageTray-0.7.0-full.nupkg,530836200,10
2026-09-05,v0.7.0,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,530836230,9
2026-09-05,v0.7.0,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,530836299,9
2026-09-05,v0.7.1,False,none,releases-legacy,RELEASES,530889416,9
2026-09-05,v0.7.1,False,win,feed,releases.win.json,530889406,106
2026-09-05,v0.7.1,False,win,delta,WusTechnik.ClaudeUsageTray-0.7.1-delta.nupkg,530889400,12
2026-09-05,v0.7.1,False,win,full,WusTechnik.ClaudeUsageTray-0.7.1-full.nupkg,530889260,12
2026-09-05,v0.7.1,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,530889296,9
2026-09-05,v0.7.1,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,530889329,11
2026-09-05,v0.7.2,False,none,releases-legacy,RELEASES,544315404,1
2026-09-05,v0.7.2,False,win-beta,feed,releases.win-beta.json,544315590,6
2026-09-05,v0.7.2,False,win,feed,releases.win.json,544315395,17
2026-09-05,v0.7.2,False,win,delta,WusTechnik.ClaudeUsageTray-0.7.2-delta.nupkg,544315386,4
2026-09-05,v0.7.2,False,win,full,WusTechnik.ClaudeUsageTray-0.7.2-full.nupkg,544315249,1
2026-09-05,v0.7.2,False,win-beta,delta,WusTechnik.ClaudeUsageTray-0.7.2-win-beta-delta.nupkg,544315492,1
2026-09-05,v0.7.2,False,win-beta,full,WusTechnik.ClaudeUsageTray-0.7.2-win-beta-full.nupkg,544315467,2
2026-09-05,v0.7.2,False,win-beta,portable,WusTechnik.ClaudeUsageTray-win-beta-Portable.zip,544315511,1
2026-09-05,v0.7.2,False,win-beta,setup,WusTechnik.ClaudeUsageTray-win-beta-Setup.exe,544315551,1
2026-09-05,v0.7.2,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,544315307,1
2026-09-05,v0.7.2,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,544315332,1
2026-09-05,v0.7.2-beta.1,True,win-beta,feed,releases.win-beta.json,544171815,12
2026-09-05,v0.7.2-beta.1,True,win-beta,full,WusTechnik.ClaudeUsageTray-0.7.2-beta.1-win-beta-full.nupkg,544171612,3
2026-09-05,v0.7.2-beta.1,True,win-beta,portable,WusTechnik.ClaudeUsageTray-win-beta-Portable.zip,544171517,2
2026-09-05,v0.7.2-beta.1,True,win-beta,setup,WusTechnik.ClaudeUsageTray-win-beta-Setup.exe,544171727,3
2026-09-05,v0.7.2-beta.2,True,win-beta,feed,releases.win-beta.json,544283176,8
2026-09-05,v0.7.2-beta.2,True,win-beta,delta,WusTechnik.ClaudeUsageTray-0.7.2-beta.2-win-beta-delta.nupkg,544283130,2
2026-09-05,v0.7.2-beta.2,True,win-beta,full,WusTechnik.ClaudeUsageTray-0.7.2-beta.2-win-beta-full.nupkg,544283058,2
2026-09-05,v0.7.2-beta.2,True,win-beta,portable,WusTechnik.ClaudeUsageTray-win-beta-Portable.zip,544283097,1
2026-09-05,v0.7.2-beta.2,True,win-beta,setup,WusTechnik.ClaudeUsageTray-win-beta-Setup.exe,544283139,1
2026-09-05,v0.7.3-beta.1,True,none,stub,ClaudeUsageTraySetup.exe,545904158,1
2026-09-05,v0.7.3-beta.1,True,win-beta,feed,releases.win-beta.json,545904098,3
2026-09-05,v0.7.3-beta.1,True,win-beta,delta,WusTechnik.ClaudeUsageTray-0.7.3-beta.1-win-beta-delta.nupkg,545904051,1
2026-09-05,v0.7.3-beta.1,True,win-beta,full,WusTechnik.ClaudeUsageTray-0.7.3-beta.1-win-beta-full.nupkg,545903910,2
2026-09-05,v0.7.3-beta.1,True,win-beta,portable,WusTechnik.ClaudeUsageTray-win-beta-Portable.zip,545904022,1
2026-09-05,v0.7.3-beta.1,True,win-beta,setup,WusTechnik.ClaudeUsageTray-win-beta-Setup.exe,545904057,2
2026-09-06,v0.1.0,False,none,releases-legacy,RELEASES,487775443,15
2026-09-06,v0.1.0,False,win,feed,releases.win.json,487775436,207
2026-09-06,v0.1.0,False,win,full,WusTechnik.ClaudeUsageTray-0.1.0-full.nupkg,487775367,16
2026-09-06,v0.1.0,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,487775336,15
2026-09-06,v0.1.0,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,487775396,16
2026-09-06,v0.2.0,False,none,releases-legacy,RELEASES,488039742,15
2026-09-06,v0.2.0,False,win,feed,releases.win.json,488039737,282
2026-09-06,v0.2.0,False,win,delta,WusTechnik.ClaudeUsageTray-0.2.0-delta.nupkg,488039667,16
2026-09-06,v0.2.0,False,win,full,WusTechnik.ClaudeUsageTray-0.2.0-full.nupkg,488039674,16
2026-09-06,v0.2.0,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,488039637,15
2026-09-06,v0.2.0,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,488039701,15
2026-09-06,v0.3.0,False,none,releases-legacy,RELEASES,488169143,15
2026-09-06,v0.3.0,False,win,feed,releases.win.json,488169139,279
2026-09-06,v0.3.0,False,win,delta,WusTechnik.ClaudeUsageTray-0.3.0-delta.nupkg,488169131,16
2026-09-06,v0.3.0,False,win,full,WusTechnik.ClaudeUsageTray-0.3.0-full.nupkg,488169095,16
2026-09-06,v0.3.0,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,488169078,15
2026-09-06,v0.3.0,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,488169112,15
2026-09-06,v0.3.2,False,none,releases-legacy,RELEASES,488345413,15
2026-09-06,v0.3.2,False,win,feed,releases.win.json,488345407,276
2026-09-06,v0.3.2,False,win,delta,WusTechnik.ClaudeUsageTray-0.3.2-delta.nupkg,488345401,16
2026-09-06,v0.3.2,False,win,full,WusTechnik.ClaudeUsageTray-0.3.2-full.nupkg,488345351,16
2026-09-06,v0.3.2,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,488345323,15
2026-09-06,v0.3.2,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,488345377,17
2026-09-06,v0.4.0,False,none,releases-legacy,RELEASES,491751081,15
2026-09-06,v0.4.0,False,win,feed,releases.win.json,491751075,276
2026-09-06,v0.4.0,False,win,delta,WusTechnik.ClaudeUsageTray-0.4.0-delta.nupkg,491750983,17
2026-09-06,v0.4.0,False,win,full,WusTechnik.ClaudeUsageTray-0.4.0-full.nupkg,491750910,17
2026-09-06,v0.4.0,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,491750940,15
2026-09-06,v0.4.0,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,491750989,15
2026-09-06,v0.5.1,False,none,releases-legacy,RELEASES,494652350,15
2026-09-06,v0.5.1,False,win,feed,releases.win.json,494652347,267
2026-09-06,v0.5.1,False,win,delta,WusTechnik.ClaudeUsageTray-0.5.1-delta.nupkg,494652341,19
2026-09-06,v0.5.1,False,win,full,WusTechnik.ClaudeUsageTray-0.5.1-full.nupkg,494652195,17
2026-09-06,v0.5.1,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,494652323,15
2026-09-06,v0.5.1,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,494652306,15
2026-09-06,v0.6.0,False,none,releases-legacy,RELEASES,522905879,15
2026-09-06,v0.6.0,False,win,feed,releases.win.json,522905877,159
2026-09-06,v0.6.0,False,win,delta,WusTechnik.ClaudeUsageTray-0.6.0-delta.nupkg,522905867,19
2026-09-06,v0.6.0,False,win,full,WusTechnik.ClaudeUsageTray-0.6.0-full.nupkg,522905771,16
2026-09-06,v0.6.0,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,522905845,15
2026-09-06,v0.6.0,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,522905808,15
2026-09-06,v0.6.1,False,none,releases-legacy,RELEASES,522930735,15
2026-09-06,v0.6.1,False,win,feed,releases.win.json,522930732,159
2026-09-06,v0.6.1,False,win,delta,WusTechnik.ClaudeUsageTray-0.6.1-delta.nupkg,522930731,19
2026-09-06,v0.6.1,False,win,full,WusTechnik.ClaudeUsageTray-0.6.1-full.nupkg,522930703,16
2026-09-06,v0.6.1,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,522930680,15
2026-09-06,v0.6.1,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,522930691,15
2026-09-06,v0.6.2,False,none,releases-legacy,RELEASES,523409965,15
2026-09-06,v0.6.2,False,win,feed,releases.win.json,523409958,157
2026-09-06,v0.6.2,False,win,delta,WusTechnik.ClaudeUsageTray-0.6.2-delta.nupkg,523409952,19
2026-09-06,v0.6.2,False,win,full,WusTechnik.ClaudeUsageTray-0.6.2-full.nupkg,523409863,16
2026-09-06,v0.6.2,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,523409833,15
2026-09-06,v0.6.2,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,523409913,15
2026-09-06,v0.7.0,False,none,releases-legacy,RELEASES,530836378,10
2026-09-06,v0.7.0,False,win,feed,releases.win.json,530836370,109
2026-09-06,v0.7.0,False,win,delta,WusTechnik.ClaudeUsageTray-0.7.0-delta.nupkg,530836359,12
2026-09-06,v0.7.0,False,win,full,WusTechnik.ClaudeUsageTray-0.7.0-full.nupkg,530836200,11
2026-09-06,v0.7.0,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,530836230,10
2026-09-06,v0.7.0,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,530836299,10
2026-09-06,v0.7.1,False,none,releases-legacy,RELEASES,530889416,10
2026-09-06,v0.7.1,False,win,feed,releases.win.json,530889406,108
2026-09-06,v0.7.1,False,win,delta,WusTechnik.ClaudeUsageTray-0.7.1-delta.nupkg,530889400,13
2026-09-06,v0.7.1,False,win,full,WusTechnik.ClaudeUsageTray-0.7.1-full.nupkg,530889260,13
2026-09-06,v0.7.1,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,530889296,10
2026-09-06,v0.7.1,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,530889329,12
2026-09-06,v0.7.2,False,none,releases-legacy,RELEASES,544315404,2
2026-09-06,v0.7.2,False,win-beta,feed,releases.win-beta.json,544315590,11
2026-09-06,v0.7.2,False,win,feed,releases.win.json,544315395,19
2026-09-06,v0.7.2,False,win,delta,WusTechnik.ClaudeUsageTray-0.7.2-delta.nupkg,544315386,5
2026-09-06,v0.7.2,False,win,full,WusTechnik.ClaudeUsageTray-0.7.2-full.nupkg,544315249,2
2026-09-06,v0.7.2,False,win-beta,delta,WusTechnik.ClaudeUsageTray-0.7.2-win-beta-delta.nupkg,544315492,2
2026-09-06,v0.7.2,False,win-beta,full,WusTechnik.ClaudeUsageTray-0.7.2-win-beta-full.nupkg,544315467,3
2026-09-06,v0.7.2,False,win-beta,portable,WusTechnik.ClaudeUsageTray-win-beta-Portable.zip,544315511,2
2026-09-06,v0.7.2,False,win-beta,setup,WusTechnik.ClaudeUsageTray-win-beta-Setup.exe,544315551,2
2026-09-06,v0.7.2,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,544315307,2
2026-09-06,v0.7.2,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,544315332,2
2026-09-06,v0.7.2-beta.1,True,win-beta,feed,releases.win-beta.json,544171815,17
2026-09-06,v0.7.2-beta.1,True,win-beta,full,WusTechnik.ClaudeUsageTray-0.7.2-beta.1-win-beta-full.nupkg,544171612,4
2026-09-06,v0.7.2-beta.1,True,win-beta,portable,WusTechnik.ClaudeUsageTray-win-beta-Portable.zip,544171517,3
2026-09-06,v0.7.2-beta.1,True,win-beta,setup,WusTechnik.ClaudeUsageTray-win-beta-Setup.exe,544171727,4
2026-09-06,v0.7.2-beta.2,True,win-beta,feed,releases.win-beta.json,544283176,13
2026-09-06,v0.7.2-beta.2,True,win-beta,delta,WusTechnik.ClaudeUsageTray-0.7.2-beta.2-win-beta-delta.nupkg,544283130,3
2026-09-06,v0.7.2-beta.2,True,win-beta,full,WusTechnik.ClaudeUsageTray-0.7.2-beta.2-win-beta-full.nupkg,544283058,3
2026-09-06,v0.7.2-beta.2,True,win-beta,portable,WusTechnik.ClaudeUsageTray-win-beta-Portable.zip,544283097,2
2026-09-06,v0.7.2-beta.2,True,win-beta,setup,WusTechnik.ClaudeUsageTray-win-beta-Setup.exe,544283139,2
2026-09-06,v0.7.3-beta.1,True,none,stub,ClaudeUsageTraySetup.exe,545904158,2
2026-09-06,v0.7.3-beta.1,True,win-beta,feed,releases.win-beta.json,545904098,8
2026-09-06,v0.7.3-beta.1,True,win-beta,delta,WusTechnik.ClaudeUsageTray-0.7.3-beta.1-win-beta-delta.nupkg,545904051,3
2026-09-06,v0.7.3-beta.1,True,win-beta,full,WusTechnik.ClaudeUsageTray-0.7.3-beta.1-win-beta-full.nupkg,545903910,4
2026-09-06,v0.7.3-beta.1,True,win-beta,portable,WusTechnik.ClaudeUsageTray-win-beta-Portable.zip,545904022,2
2026-09-06,v0.7.3-beta.1,True,win-beta,setup,WusTechnik.ClaudeUsageTray-win-beta-Setup.exe,545904057,3
2026-09-06,v0.7.3-beta.2,True,none,stub,ClaudeUsageTraySetup.exe,546057826,2
2026-09-06,v0.7.3-beta.2,True,win-beta,feed,releases.win-beta.json,546057782,4
2026-09-06,v0.7.3-beta.2,True,win-beta,delta,WusTechnik.ClaudeUsageTray-0.7.3-beta.2-win-beta-delta.nupkg,546057773,4
2026-09-06,v0.7.3-beta.2,True,win-beta,full,WusTechnik.ClaudeUsageTray-0.7.3-beta.2-win-beta-full.nupkg,546057730,3
2026-09-06,v0.7.3-beta.2,True,win-beta,portable,WusTechnik.ClaudeUsageTray-win-beta-Portable.zip,546057636,2
2026-09-06,v0.7.3-beta.2,True,win-beta,setup,WusTechnik.ClaudeUsageTray-win-beta-Setup.exe,546057677,2
2026-09-07,v0.1.0,False,none,releases-legacy,RELEASES,487775443,16
2026-09-07,v0.1.0,False,win,feed,releases.win.json,487775436,208
2026-09-07,v0.1.0,False,win,full,WusTechnik.ClaudeUsageTray-0.1.0-full.nupkg,487775367,17
2026-09-07,v0.1.0,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,487775336,16
2026-09-07,v0.1.0,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,487775396,17
2026-09-07,v0.2.0,False,none,releases-legacy,RELEASES,488039742,16
2026-09-07,v0.2.0,False,win,feed,releases.win.json,488039737,283
2026-09-07,v0.2.0,False,win,delta,WusTechnik.ClaudeUsageTray-0.2.0-delta.nupkg,488039667,17
2026-09-07,v0.2.0,False,win,full,WusTechnik.ClaudeUsageTray-0.2.0-full.nupkg,488039674,17
2026-09-07,v0.2.0,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,488039637,16
2026-09-07,v0.2.0,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,488039701,16
2026-09-07,v0.3.0,False,none,releases-legacy,RELEASES,488169143,16
2026-09-07,v0.3.0,False,win,feed,releases.win.json,488169139,280
2026-09-07,v0.3.0,False,win,delta,WusTechnik.ClaudeUsageTray-0.3.0-delta.nupkg,488169131,17
2026-09-07,v0.3.0,False,win,full,WusTechnik.ClaudeUsageTray-0.3.0-full.nupkg,488169095,17
2026-09-07,v0.3.0,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,488169078,16
2026-09-07,v0.3.0,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,488169112,16
2026-09-07,v0.3.2,False,none,releases-legacy,RELEASES,488345413,16
2026-09-07,v0.3.2,False,win,feed,releases.win.json,488345407,277
2026-09-07,v0.3.2,False,win,delta,WusTechnik.ClaudeUsageTray-0.3.2-delta.nupkg,488345401,17
2026-09-07,v0.3.2,False,win,full,WusTechnik.ClaudeUsageTray-0.3.2-full.nupkg,488345351,17
2026-09-07,v0.3.2,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,488345323,16
2026-09-07,v0.3.2,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,488345377,18
2026-09-07,v0.4.0,False,none,releases-legacy,RELEASES,491751081,16
2026-09-07,v0.4.0,False,win,feed,releases.win.json,491751075,277
2026-09-07,v0.4.0,False,win,delta,WusTechnik.ClaudeUsageTray-0.4.0-delta.nupkg,491750983,18
2026-09-07,v0.4.0,False,win,full,WusTechnik.ClaudeUsageTray-0.4.0-full.nupkg,491750910,18
2026-09-07,v0.4.0,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,491750940,16
2026-09-07,v0.4.0,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,491750989,16
2026-09-07,v0.5.1,False,none,releases-legacy,RELEASES,494652350,16
2026-09-07,v0.5.1,False,win,feed,releases.win.json,494652347,268
2026-09-07,v0.5.1,False,win,delta,WusTechnik.ClaudeUsageTray-0.5.1-delta.nupkg,494652341,20
2026-09-07,v0.5.1,False,win,full,WusTechnik.ClaudeUsageTray-0.5.1-full.nupkg,494652195,18
2026-09-07,v0.5.1,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,494652323,16
2026-09-07,v0.5.1,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,494652306,16
2026-09-07,v0.6.0,False,none,releases-legacy,RELEASES,522905879,16
2026-09-07,v0.6.0,False,win,feed,releases.win.json,522905877,160
2026-09-07,v0.6.0,False,win,delta,WusTechnik.ClaudeUsageTray-0.6.0-delta.nupkg,522905867,20
2026-09-07,v0.6.0,False,win,full,WusTechnik.ClaudeUsageTray-0.6.0-full.nupkg,522905771,17
2026-09-07,v0.6.0,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,522905845,16
2026-09-07,v0.6.0,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,522905808,16
2026-09-07,v0.6.1,False,none,releases-legacy,RELEASES,522930735,16
2026-09-07,v0.6.1,False,win,feed,releases.win.json,522930732,160
2026-09-07,v0.6.1,False,win,delta,WusTechnik.ClaudeUsageTray-0.6.1-delta.nupkg,522930731,20
2026-09-07,v0.6.1,False,win,full,WusTechnik.ClaudeUsageTray-0.6.1-full.nupkg,522930703,17
2026-09-07,v0.6.1,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,522930680,16
2026-09-07,v0.6.1,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,522930691,16
2026-09-07,v0.6.2,False,none,releases-legacy,RELEASES,523409965,16
2026-09-07,v0.6.2,False,win,feed,releases.win.json,523409958,164
2026-09-07,v0.6.2,False,win,delta,WusTechnik.ClaudeUsageTray-0.6.2-delta.nupkg,523409952,20
2026-09-07,v0.6.2,False,win,full,WusTechnik.ClaudeUsageTray-0.6.2-full.nupkg,523409863,17
2026-09-07,v0.6.2,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,523409833,16
2026-09-07,v0.6.2,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,523409913,16
2026-09-07,v0.7.0,False,none,releases-legacy,RELEASES,530836378,11
2026-09-07,v0.7.0,False,win,feed,releases.win.json,530836370,116
2026-09-07,v0.7.0,False,win,delta,WusTechnik.ClaudeUsageTray-0.7.0-delta.nupkg,530836359,13
2026-09-07,v0.7.0,False,win,full,WusTechnik.ClaudeUsageTray-0.7.0-full.nupkg,530836200,12
2026-09-07,v0.7.0,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,530836230,11
2026-09-07,v0.7.0,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,530836299,11
2026-09-07,v0.7.1,False,none,releases-legacy,RELEASES,530889416,11
2026-09-07,v0.7.1,False,win,feed,releases.win.json,530889406,115
2026-09-07,v0.7.1,False,win,delta,WusTechnik.ClaudeUsageTray-0.7.1-delta.nupkg,530889400,14
2026-09-07,v0.7.1,False,win,full,WusTechnik.ClaudeUsageTray-0.7.1-full.nupkg,530889260,14
2026-09-07,v0.7.1,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,530889296,11
2026-09-07,v0.7.1,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,530889329,13
2026-09-07,v0.7.2,False,none,releases-legacy,RELEASES,544315404,3
2026-09-07,v0.7.2,False,win-beta,feed,releases.win-beta.json,544315590,22
2026-09-07,v0.7.2,False,win,feed,releases.win.json,544315395,26
2026-09-07,v0.7.2,False,win,delta,WusTechnik.ClaudeUsageTray-0.7.2-delta.nupkg,544315386,7
2026-09-07,v0.7.2,False,win,full,WusTechnik.ClaudeUsageTray-0.7.2-full.nupkg,544315249,3
2026-09-07,v0.7.2,False,win-beta,delta,WusTechnik.ClaudeUsageTray-0.7.2-win-beta-delta.nupkg,544315492,3
2026-09-07,v0.7.2,False,win-beta,full,WusTechnik.ClaudeUsageTray-0.7.2-win-beta-full.nupkg,544315467,4
2026-09-07,v0.7.2,False,win-beta,portable,WusTechnik.ClaudeUsageTray-win-beta-Portable.zip,544315511,3
2026-09-07,v0.7.2,False,win-beta,setup,WusTechnik.ClaudeUsageTray-win-beta-Setup.exe,544315551,3
2026-09-07,v0.7.2,False,win,portable,WusTechnik.ClaudeUsageTray-win-Portable.zip,544315307,3
2026-09-07,v0.7.2,False,win,setup,WusTechnik.ClaudeUsageTray-win-Setup.exe,544315332,3
2026-09-07,v0.7.2-beta.1,True,win-beta,feed,releases.win-beta.json,544171815,28
2026-09-07,v0.7.2-beta.1,True,win-beta,full,WusTechnik.ClaudeUsageTray-0.7.2-beta.1-win-beta-full.nupkg,544171612,5
2026-09-07,v0.7.2-beta.1,True,win-beta,portable,WusTechnik.ClaudeUsageTray-win-beta-Portable.zip,544171517,4
2026-09-07,v0.7.2-beta.1,True,win-beta,setup,WusTechnik.ClaudeUsageTray-win-beta-Setup.exe,544171727,5
2026-09-07,v0.7.2-beta.2,True,win-beta,feed,releases.win-beta.json,544283176,24
